scored mountain-days: 1140, changed: 144
name day score_0.1 score_0.5 wet_0.1 wet_0.5 | hours 0.1-0.4 / >=0.5 (whole day, MSM) | max mm/h | day sum mm
乾徳山          2026-09-21    0.0 ->    0.0  76.9(10.8/14h M11 確3 湿1) 57.0mm -> 76.9(10.8/14h M11 確3 湿3) 57.0mm |  2 / 11 | 21.6 | 159.6
天城山(万三郎岳)    2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿11) 0.3mm -> 100.0(14/14h M 湿14) 0.3mm |  3 /  0 | 0.1 | 0.3
天城山(万三郎岳)    2026-09-21    0.0 ->    0.0  54.3(7.6/14h M11 確3) 23.4mm -> 54.3(7.6/14h M11 確3 湿2) 23.4mm |  2 /  9 | 66.4 | 286.3
立山(雄山)       2026-09-21    0.0 ->    0.0  99.3(13.9/14h M11 確3) 28.9mm -> 99.3(13.9/14h M11 確3 湿1) 28.9mm |  3 / 13 | 6.8 | 41.2
白山(御前峰)      2026-09-21    4.7 ->    4.7  99.6(14/14h M11 確3) 12.1mm -> 99.6(14/14h M11 確3 湿3) 12.1mm |  4 /  8 | 1.6 | 9.0
苗場山          2026-09-20    0.0 ->    0.0  100.0(14/14h M 湿2) 13.7mm -> 100.0(14/14h M 湿4) 13.7mm |  2 / 15 | 2.8 | 19.2
那須岳(茶臼岳)     2026-09-20   14.3 ->   14.3  85.7(12/14h M) 19.4mm  -> 78.6(11/14h M 湿1) 19.4mm |  4 / 16 | 3.9 | 35.5
磐梯山          2026-09-21    0.0 ->    0.0  96.8(13.6/14h M11 確3) 69.4mm -> 96.8(13.6/14h M11 確3 湿2) 69.4mm |  2 / 14 | 18.6 | 75.9
安達太良山        2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿13) 0.1mm -> 100.0(14/14h M 湿14) 0.1mm |  3 /  0 | 0.1 | 0.3
蔵王山(熊野岳)     2026-09-20    0.0 ->    0.0  100.0(14/14h M 湿8) 2.8mm -> 100.0(14/14h M 湿11) 2.8mm |  3 / 10 | 2.9 | 12.7
会津駒ヶ岳        2026-09-20    0.0 ->    0.0  100.0(14/14h M 湿3) 13.2mm -> 100.0(14/14h M 湿4) 13.2mm |  1 / 15 | 3.0 | 22.2
